fold,train_fraction,train_samples,train_mae,test_mae,generalization_gap_mae,test_critical_mae
holdout_bearing_3,0.25,1078,0.8597544843122295,215.7799342512938,214.9201797669816,169.90458360076877
holdout_bearing_3,0.5,2156,0.8432080891082576,215.7732552404757,214.93004715136743,162.50311099266264
holdout_bearing_3,0.75,3234,1.0534906968064375,211.08683928599365,210.0333485891872,166.5150143371077
holdout_bearing_3,1.0,4312,0.9117158017400533,206.89206427049388,205.98034846875382,157.8653598726448
holdout_bearing_4,0.25,1078,1.4808839855229723,251.86203623626065,250.38115225073767,6.805431643812043
holdout_bearing_4,0.5,2156,2.0983017547221516,243.38197857645494,241.2836768217328,6.42787046518177
holdout_bearing_4,0.75,3234,2.4928564589818913,230.84885358383002,228.35599712484813,7.6762260815403405
holdout_bearing_4,1.0,4312,2.750801127612319,246.01903185467805,243.26823072706574,7.220994145255794
