rul_bin,fold,samples,mae,median_abs_error,bias,actual_rul_min,actual_rul_max
0-50h,holdout_bearing_3,354,157.86535987264483,73.59357974283452,157.86535987264483,0.0,49.97555555555556
50-100h,holdout_bearing_3,542,293.23685707957554,383.6866296009687,293.2345817062482,50.14222222222222,99.88333333333334
100-150h,holdout_bearing_3,458,325.9623257225512,350.24073781911335,325.4773257005586,100.05,149.89694444444444
150-200h,holdout_bearing_3,420,293.20546271230916,289.7847545909982,293.20546271230916,150.0636111111111,199.9572222222222
200-300h,holdout_bearing_3,752,230.638443490582,228.45621338823668,230.638443490582,200.1238888888889,276.6275
300-400h,holdout_bearing_3,354,87.02328647993416,89.65404975081216,87.02328647993416,367.23277777777776,399.97
400-600h,holdout_bearing_3,700,103.65008128829994,69.40365967159173,-51.937717362220695,400.13666666666666,599.97
600+h,holdout_bearing_3,732,174.9472921606567,153.34511987853918,-174.9472921606567,600.1366666666667,827.5588888888889
0-50h,holdout_bearing_4,354,7.220994145255794,5.906797059722038,3.539494638019805,0.0,49.97555555555556
50-100h,holdout_bearing_4,542,52.91749607530399,50.966758641203256,-52.911884475913695,50.14222222222222,99.88333333333334
100-150h,holdout_bearing_4,458,88.04488427506739,41.15473629727569,63.493437675620925,100.05,149.89694444444444
150-200h,holdout_bearing_4,420,448.8115271286829,513.7175166579862,447.74181951991346,150.0636111111111,199.9572222222222
200-300h,holdout_bearing_4,752,544.1134897039558,548.2253098568226,544.1134897039558,200.1238888888889,276.6275
300-400h,holdout_bearing_4,354,416.86214707861603,418.76029917682,416.86214707861603,367.23277777777776,399.97
400-600h,holdout_bearing_4,700,255.90519674041875,279.2823323581464,240.43828304724124,400.13666666666666,599.97
600+h,holdout_bearing_4,732,88.6543307699599,114.41596816838592,81.74812397323332,600.1366666666667,827.5588888888889
